"Grinberg, N., Benkhedda, K., Barber, J., Krahn, AD., La Vieille, S. Effects of Caffeinated Energy Drinks on Cardiovascular Responses during Exercise in Healthy Adults: A Systematic Review and Meta-analysis of Randomized Controlled Trials. Applied physiology, nutrition, and metabolism = Physiologie appliquee, nutrition et metabolisme 2022 Apr 01;None doi: 10.1139/apnm-2021-0807 PMID: 35358397"
"Grondin, S., Davies, B., Cadrin-Tourigny, J., Steinberg, C., Cheung, CC., Jorda, P., Healey, JS., Green, MS., Sanatani, S., Alqarawi, W., Angaran, P., Arbour, L., Antiperovitch, P., Khan, H., Leather, R., Guerra, PG., Rivard, L., Simpson, CS., Gardner, M., MacIntyre, C., Seifer, C., Fournier, A., Joza, J., Gollob, MH., Lettre, G., Talajic, M., Laksman, ZW., Roberts, JD., Krahn, AD., Tadros, R. Importance of genetic testing in unexplained cardiac arrest. European heart journal 2022 Mar 31;6555814 doi: 10.1093/eurheartj/ehac145 PMID: 35352813"
"Krahn, AD., Behr, ER., Hamilton, R., Probst, V., Laksman, Z., Han, HC. Brugada Syndrome. JACC. Clinical electrophysiology 2022 Mar 26;S2405-500X(21)01080-X doi: 10.1016/j.jacep.2021.12.001 PMID: 35331438"
"Mellor, GJ., Tadros, R., Krahn, AD. Cardiomyopathy Genes and Idiopathic VF: A Known Unknown? Circulation. Genomic and precision medicine 2022 Feb 02;None doi: 10.1161/CIRCGEN.122.003680 PMID: 35103492"
"Roston, TM., Islam, S., Hawkins, NM., Laksman, ZW., Sanatani, S., Krahn, AD., Sandhu, R., Kaul, P. A Population-Based Study of Unexplained/Lone Atrial Fibrillation: Temporal Trends, Management, and Outcomes. CJC open 2022 Jan 25;S2589-790X(21)00240-7 doi: 10.1016/j.cjco.2021.09.006 PMID: 35072029"
"Salimian, S., Deyell, MW., Andrade, JG., Chakrabarti, S., Bennett, MT., Krahn, AD., Hawkins, NM. Heart failure treatment in patients with cardiac implantable electronic devices: Opportunity for improvement. Heart rhythm O2 2022 Jan 07;S2666-5018(21)00192-6 doi: 10.1016/j.hroo.2021.09.010 PMID: 34988519"
"Steinberg, C., Dognin, N., Sodhi, A., Champagne, C., Staples, JA., Champagne, J., Laksman, ZW., Sarrazin, JF., Bennett, MT., Plourde, B., Deyell, MW., Andrade, JG., Roy, K., Yeung-Lai-Wah, JA., Hawkins, NM., Mondésert, B., Blier, L., Nault, I., O'Hara, G., Krahn, AD., Philippon, F., Chakrabarti, S. DREAM-ICD-II Study. Circulation 2021 Dec 17;None doi: 10.1161/CIRCULATIONAHA.121.056471 PMID: 34913361"
"Peltenburg, PJ., Kallas, D., Bos, JM., Lieve, KVV., Franciosi, S., Roston, TM., Denjoy, I., Sorensen, KB., Ohno, S., Roses-Noguer, F., Aiba, T., Maltret, A., LaPage, MJ., Atallah, J., Giudicessi, JR., Clur, SB., Blom, NA., Tanck, M., Extramiana, F., Kato, K., Barc, J., Borggrefe, M., Behr, ER., Sarquella-Brugada, G., Tfelt-Hansen, J., Zorio, E., Swan, H., Kammeraad, JAE., Krahn, AD., Davis, A., Sacher, F., Schwartz, PJ., Roberts, JD., Skinner, JR., van den Berg, MP., Kannankeril, PJ., Drago, F., Robyns, T., Haugaa, K., Tavacova, T., Semsarian, C., Till, J., Probst, V., Brugada, R., Shimizu, W., Horie, M., Leenhardt, A., Ackerman, MJ., Sanatani, S., van der Werf, C., Wilde, AAM. An International Multicenter Cohort Study on β-Blockers for the Treatment of Symptomatic Children With Catecholaminergic Polymorphic Ventricular Tachycardia. Circulation 2021 Dec 08;None doi: 10.1161/CIRCULATIONAHA.121.056018 PMID: 34874747"
"Longtin, Y., Gervais, P., Birnie, DH., Wang, J., Alings, M., Philippon, F., Parkash, R., Manlucu, J., Angaran, P., Rinne, C., Coutu, B., Low, RA., Essebag, V., Morillo, C., Redfearn, D., Toal, S., Becker, G., Degrâce, M., Thibault, B., Crystal, E., Tung, S., LeMaitre, J., Sultan, O., Bennett, M., Bashir, J., Ayala-Paredes, F., Rioux, L., Hemels, MEW., Bouwels, LHR., Exner, DV., Dorian, P., Connolly, SJ., Krahn, AD. Impact of Choice of Prophylaxis on the Microbiology of Cardiac Implantable Electronic Device Infections: Insights From the Prevention of Arrhythmia Device Infection Trial (PADIT). Open forum infectious diseases 2021 Dec 04;ofab513 doi: 10.1093/ofid/ofab513 PMID: 34859113"
"Roston, TM., Wei, J., Guo, W., Li, Y., Zhong, X., Wang, R., Estillore, JP., Peltenburg, PJ., Noguer, FRI., Till, J., Eckhardt, LL., Orland, KM., Hamilton, R., LaPage, MJ., Krahn, AD., Tadros, R., Vinocur, JM., Kallas, D., Franciosi, S., Roberts, JD., Wilde, AAM., Jensen, HK., Sanatani, S., Chen, SRW. Clinical and Functional Characterization of Ryanodine Receptor 2 Variants Implicated in Calcium-Release Deficiency Syndrome. JAMA cardiology 2021 Nov 04;2785701 doi: 10.1001/jamacardio.2021.4458 PMID: 34730774"
